Link,DSA AppId,Project Name,Project Scope,Project Cert Type,Project Type,Final Project Cost,Approved Date,Address,City
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=103556,04 103556,Calimesa Elem. School,RELOCATION OF:  ONE (1) 24 X 40 RELOC CR BLDG (A-62045),#1-Certification & Close of File,School (K-12),"$23,608.00",9/6/2001,13523 Second Street,Yucaipa
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=102815,04 102815,Calimesa Elementary School,"Alterations to 4-Classroom Buildings B, C (A#12610), D (A#15354) & E (A#23670), 1-Administration / Kindergarten Building A (A#22359), 10-Relocatable Classroom Buildings 18 (A#50497), 19 (A#50579), 20, 21, 22 (A#47472), 23, 24 (A#48960), 25, 26 (A#50579) & 27 (A#46114), 1-Relocatable Toilet Building (A#50958), 1-Relocatable Library Building (A#47830)",DSA 301P Notification of Requirement for Certification,School (K-12),"$1,170,037.76",6/15/2001,13523 Second St.,Yucaipa
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=105771,04 105771,Calimesa Elementary School,,,School (K-12),$0.00,,13523 Second St.,Yucaipa
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=102533,04 102533,Calimesa Elementary School,CONSTRUCTION OF:  M.P. BLDG.,#1-Certification & Close of File,School (K-12),"$1,942,624.49",3/14/2001,13523 2nd. Street,Calimesa
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=124281,04 124281,Calimesa Elementary School,Construction of 2-Solar Panel Structures,,School (K-12),$0.00,2/6/2025,13523 Second St,Yucaipa
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=124298,04 124298,Chapman Heights Elementary School,Construction of 2-Solar Panel Structures,,School (K-12),$0.00,,33692 Cramer Rd,Yucaipa
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=102480,04 102480,Chapman Heights School,Construction of CONSTRUCTION OF: PORTION-1; SITE WORK ONLYPORTION-2: 1 ADMIN BLDG,#2-Certification & Close of File Per EDU Code 17315(b) OR 81147(b),School (K-12),"$8,539,253.89",3/16/2001,East Loop & 5th Street,Yucaipa
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=115983,04 115983,Competitive Edge Charter Academy,"Alterations to 1-Classroom Building 300 (A#04-102481), 1-Parking Lot, 1-Administration Building 100 (A#04-102480); Construction of 1-Locker Building (Relocatable, PC#04-114135)",#1-Certification & Close of File,School (K-12),"$208,021.12",5/30/2017,34450 Stonewood Way,Yucaipa
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=124088,04 124088,Competitive Edge Charter Academy,Construction of 2-Shade Structures (Fabric),,School (K-12),$0.00,11/14/2024,34550 Stonewood Dr,Yucaipa
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=124162,04 124162,Competitive Edge Charter Academy,Construction of 3-Solar Panel Structures,,School (K-12),$0.00,12/19/2024,34450 Stonewood Dr,Yucaipa
