Link,DSA AppId,Project Name,Project Scope,Project Cert Type,Project Type,Final Project Cost,Approved Date,Address,City
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=102023,04 102023,Lilac Elementary School,Construction of CONSTRUCTION OF:  BLDG. A ( MULTI-PURPOSE )  BLDG. B ( ADMIN.CLSRM ) BLDG. C ( LIBRARY/CLSRM.)AND 120 '  2 LANE HIGHWAY BRIDGE; BELL TOWER,#1-Certification & Close of File,School (K-12),"$8,464,546.00",8/24/2000,Lilac Road And Old Castle Rd.,Community Of Vlly. Center
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=105502,04 105502,Lilac Elementary School,Construction of (1)LUNCH SHELTER (24'X36').,#1-Certification & Close of File,School (K-12),"$28,948.69",10/10/2003,Lilac Rd. & Old Castle Rd.,Valley Center
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=112592,04 112592,Lilac Elementary School,"Construction of 2-Shade Structures (PC#02-111934, 20x30 & 25x50)",#1-Certification & Close of File,School (K-12),"$63,042.59",9/21/2012,30109 Lilac Road,Valley Center
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=119147,04 119147,Lilac Elementary School,Alterations to 1-Utility Improvements,#1-Certification & Close of File,School (K-12),"$51,060.84",5/8/2020,30109 Lilac Rd,Valley Center
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=106160,04 106160,Lower Elementary School,Construction of 3 - Lunch Shelter/s (based on PC 04-104776),#1-Certification & Close of File,School (K-12),"$98,000.00",9/7/2004,28751 Cole Grade Rd.,Valley Center
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=105020,04 105020,Oak Glen High School,Construction of (1) 20 x 28 Fabric Shade Structure,#1-Certification & Close of File,School (K-12),"$15,000.00",9/9/2003,31322 Cole Grade Rd.,Valley Center
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=107083,04 107083,Pauma Elementary School,"Construction of 1 - Admin. Bldg, Sitework.",,School (K-12),$0.00,3/8/2006,33158 Cole Grade Rd.,Pauma Valley
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=122565,04 122565,Pauma Valley Unified School District,Alterations to 2-Parking Lots (EV Charging Stations & Electrical Equipment),,School (K-12),$0.00,6/28/2024,28751 Cole Grade Road,Valley Cener
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=110347,04 110347,Robert Adams Community Park / Valley Center-Pauma Usd,"Construction of 1-Gazebo (Bld'g A), 1-Covered Patio w/ Storage (Bld'g B), 1-Covered Picnic Area (Bld'g C)",#1-Certification & Close of File,School (K-12),"$337,946.06",5/5/2010,28751 Cole Grade Rd.,Valley Center
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=120619,04 120619,Valley Center Elementary School,Alterations to 1-Administration Building J (Electrical Equipment Mounting on Exterior Wall); Construction of 4-Solar Panel Structures,#1-Certification & Close of File,School (K-12),"$800,120.00",10/8/2021,38751 Cole Grade Rd,Valley Center
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=101427,04 101427,Valley Center Elementary School,"Alterations to 1-Administration Building (A#10815), 1-Classroom Building F (A#19321); Construction of 2-Classroom Buildings (Relocatable, 24x40, PC#275)",DSA 301P Notification of Requirement for Certification,School (K-12),$0.00,8/12/1999,28751 Cole Grade Road,Valley Center
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=111467,04 111467,Valley Center Elementary School (boys & Girls Club),"Alterations to 1-Gym/Multi-Purpose Bldg. (04-101756),Tenant Improvement (Boys and Girls Club)",#1-Certification & Close of File,School (K-12),"$1,189,116.00",4/12/2011,28751 Cole Grade Road,Valley Center
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=112063,04 112063,Valley Center Elementary School / Boys & Girls Club,Alterations to 1-MP Building G (04-101756) -Roof Mounted Solar Panels,#1-Certification & Close of File,School (K-12),"$85,400.00",1/6/2012,28751 Cole Grade Rd.,Valley Center
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=112197,04 112197,Valley Center High School,"Alterations to 1-Light/Cell Pole (A04-105882), Climbing Safety",#1-Certification & Close of File,School (K-12),"$73,343.91",3/6/2012,28751 Cole Grade Road,Valley Center
