CountyCode,CountyName,DistrictCode,DistrictName
1,Alameda,01,Alameda County
1,Alameda,01-CALIFSCHOOL FOR THE BL,California Dept Of Ed School For The Blind
1,Alameda,01-County of Alameda,County Of Alameda - General Services Administration
1,Alameda,1-0,California School For The Deaf
1,Alameda,1-1,Alameda Unified School District
1,Alameda,1-11,Emery Unified School District
1,Alameda,1-12,"Envision Education, Inc."
1,Alameda,1-13,Hayward Unified School District
1,Alameda,1-17,Fremont Unified School District
1,Alameda,1-18,Livermore Valley Joint Unified School District
1,Alameda,1-2,Albany City Unified School District
1,Alameda,1-24,Mountain House Elementary School District
1,Alameda,1-25,New Haven Unified School District
1,Alameda,1-27,Newark Unified School District
1,Alameda,1-29,Oakland Unified School District
1,Alameda,1-3,Alameda County Office Of Education
1,Alameda,1-31,Piedmont City Unified School District
1,Alameda,1-32,Pleasanton Unified School District
1,Alameda,1-35,San Leandro Unified School District
1,Alameda,1-36,San Lorenzo Unified School District
1,Alameda,1-39,Sunol Glen Unified School District
1,Alameda,1-46,California School For The Blind
1,Alameda,1-47,Dublin Unified School District
1,Alameda,1-51,Oakland Unity Charter High School
1,Alameda,1-6,Berkeley Unified School District
1,Alameda,1-7,Castro Valley Unified School District
1,Alameda,1-H1,Alameda Unified School District
1,Alameda,1-H11,San Leandro Unified School District
1,Alameda,1-H13,San Lorenzo Unified School District
1,Alameda,1-H14,Newark Unified School District
1,Alameda,1-H15,Castro Valley Unified School District
1,Alameda,1-H16,Dublin Unified School District
1,Alameda,1-H17,Fremont Unified School District
1,Alameda,1-H2,Albany Unified School District
1,Alameda,1-H25,New Haven Unified School District
1,Alameda,1-H26,Pleasanton Unified School District
1,Alameda,1-H4,Berkeley Unified School District
1,Alameda,1-H5,Emery Unified School District
1,Alameda,1-H6,Hayward Unified School District
1,Alameda,1-H7,Livermore Valley Joint Unified School District
1,Alameda,1-H8,Oakland Unified School District
1,Alameda,1-H9,Piedmont City Unified School District
1,Alameda,1-LPS,Leadership Public Schools
10,Fresno,10,Fresno County Office Of Education
10,Fresno,10-0,Department Of Education
10,Fresno,10-10,Big Creek Elementary School District
10,Fresno,10-101,Orange Center Elementary School District
10,Fresno,10-105,Parlier Unified School District
10,Fresno,10-106,Pacific Union Elementary School District
10,Fresno,10-111,Pine Ridge Elementary School Dist.
10,Fresno,10-116,Raisin City Elementary School District
10,Fresno,10-119,Riverdale Jt. Unified School District
10,Fresno,10-126,Sanger Unified School District
10,Fresno,10-129,Selma Unified School District
10,Fresno,10-145,Washington Colony Elementary School District
10,Fresno,10-146,West Park Elementary School District
10,Fresno,10-152,Fresno County Office Of Education
10,Fresno,10-155,Sierra Unified School District
10,Fresno,10-156,Golden Plains Unified School District
10,Fresno,10-16,Burrel Union Elementary School District
10,Fresno,10-21,Caruthers Unified School District
10,Fresno,10-23,Central Unified School District
10,Fresno,10-26,Clay Joint Elementary School District
10,Fresno,10-27,Clovis Unified School District
10,Fresno,10-28,Coalinga-Huron Unified School District
10,Fresno,10-31,Washington Unified School District
10,Fresno,10-4,Alvina Elementary School District
10,Fresno,10-41,Firebaugh-Las Deltas Unified School District
10,Fresno,10-45,Fowler Unified School District
10,Fresno,10-48,Fresno Unified School District
10,Fresno,10-49,West Fresno Elementary School District
10,Fresno,10-5,American Union Elementary School District
10,Fresno,10-70,Kerman Unified School District
10,Fresno,10-71,Kingsburg Elementary Charter School District
10,Fresno,10-72,Kings Canyon Unified School District
10,Fresno,10-76,Laton Unified School District
10,Fresno,10-80,Westside Elementary School District
10,Fresno,10-89,Mendota Unified School District
10,Fresno,10-92,Monroe Elementary School District
10,Fresno,10-County of Fresno,County Of Fresno-Resources/parks Division
10,Fresno,10-EECU,Educational Employees Credit Union
10,Fresno,10-FCPL,Fresno County Public Library
10,Fresno,10-H1,Caruthers Unified School District
10,Fresno,10-H10,Kingsburg Jt. Union High School District
10,Fresno,10-H11,Laton Unified School District
10,Fresno,10-H12,Parlier Unified School District
10,Fresno,10-H14,Riverdale Joint Unified School District
10,Fresno,10-H15,Sanger Unified School District
10,Fresno,10-H16,Selma Unified School District
10,Fresno,10-H19,Washington Unified School District
10,Fresno,10-H2,Central Unified School District
10,Fresno,10-H22,Firebaugh-Las Deltas Unified School District
10,Fresno,10-H24,Golden Plains Unified School District
10,Fresno,10-H25,Sierra Unified School District
10,Fresno,10-H3,Clovis Unified School District
10,Fresno,10-H4,Coalinga-Huron Unified School District
10,Fresno,10-H5,Mendota Unified School District
10,Fresno,10-H6,Kings Canyon Unified School District
10,Fresno,10-H7,Fowler Unified School District
10,Fresno,10-H8,Fresno Unified School District
10,Fresno,10-H9,Kerman Unified School District
10,Fresno,10-KIPP,Kipp Bay Area Schools
11,Glenn,11,Glenn County Office Of Education
11,Glenn,11-18,Hamilton Union Elementary School District
11,Glenn,11-21,Lake Elementary School District
11,Glenn,11-29,Orland Jt. Unified School District
11,Glenn,11-30,Plaza Elementary School District
11,Glenn,11-31,Princeton Jt. Unified School District
11,Glenn,11-35,Willows Unified School District
11,Glenn,11-5,Capay Joint Union Elementary School District
11,Glenn,11-H2,Hamilton Union High School District
11,Glenn,11-H3,Orland Jt. Unified School District
11,Glenn,11-H4,Princeton Jt. Unified School District
11,Glenn,11-H6,Willows Unified School District
12,Humboldt,12,Humbolt County Office Of Education
12,Humboldt,12-10,Bridgeville Elementary School District
12,Humboldt,12-108,Mckinleyville Union School District
12,Humboldt,12-21,Cuddeback Union Elementary School District
12,Humboldt,12-22,Cutten Elementary School District
12,Humboldt,12-3,Arcata Elementary School District
12,Humboldt,12-31,Eureka City Schools
12,Humboldt,12-33,Ferndale Unified School District
12,Humboldt,12-35,Fieldbrook Elementary School District
12,Humboldt,12-39,Fortuna Elementary School District
12,Humboldt,12-4,Big Lagoon Union Elementary School District
12,Humboldt,12-40,Freshwater Elementary School District
12,Humboldt,12-42,Garfield Elementary School District
12,Humboldt,12-46,Green Point Elementary School District
12,Humboldt,12-50,Humboldt County Office Of Education
12,Humboldt,12-51,Hydesville Elementary School District
12,Humboldt,12-53,Jacoby Creek Elementary School District
12,Humboldt,12-56,Klamath-Trinity Joint Unified School District
12,Humboldt,12-60,Loleta Union School District
12,Humboldt,12-63,Mattole Unified School District
12,Humboldt,12-7,Blue Lake Elementary School District
12,Humboldt,12-73,Orick Elementary School District
12,Humboldt,12-77,Pacific Union School District
12,Humboldt,12-78,Peninsula Union School District
12,Humboldt,12-82,Rio Dell Elementary School District
12,Humboldt,12-83,Fortuna Union Elementary School District Formerly Rohnervile School Dostrict
12,Humboldt,12-87,Scotia Union Elementary School District
12,Humboldt,12-88,Southern Humboldt Joint Unified School District
12,Humboldt,12-91,South Bay Union Elementary School District
12,Humboldt,12-92,Trinidad Union Elementary School District
12,Humboldt,12-County of Humboldt,County Of Humboldt - Department Of Public Works
12,Humboldt,12-H1,Northern Humboldt Union High School District
12,Humboldt,12-H10,Southern Humboldt Jt. Unified School District
12,Humboldt,12-H2,Eureka City Schools
12,Humboldt,12-H4,Fortuna Union High School District
12,Humboldt,12-H6,Mattole Unified School District
12,Humboldt,12-H7,Klamath-Trinity Joint Unified School District
13,Imperial,13,Imperial County Office Of Education
13,Imperial,13-13,El Centro Elementary School District
13,Imperial,13-17,Heber Elementary School District
13,Imperial,13-20,Imperial Unified School District
13,Imperial,13-24,Magnolia Union Elementary School
13,Imperial,13-25,Mccabe Union Elementary School District
13,Imperial,13-29,Mulberry School District
13,Imperial,13-34,Seeley Union Elementary School District
13,Imperial,13-39,Westmorland Union Elementary School District
13,Imperial,13-44,San Pasqual Valley Unified School District
13,Imperial,13-45,Meadows Union Elementary School District
13,Imperial,13-46,Imperial County Office Of Education
13,Imperial,13-6,Brawley Elementary School District
13,Imperial,13-7,Calexico Unified School District
13,Imperial,13-8,Calipatria Unified School District
