Link,DSA AppId,Project Name,Project Scope,Project Cert Type,Project Type,Final Project Cost,Approved Date,Address,City
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100140,04 100140,Victor Elementary School District,"CONST. OF 10 CR BLDGS(RELOCATABLE) PC-275
2@DEL REY;2@GREENTREE;2@IRWIN;4@LIBERTY ELEM SCH",#1-Certification & Close of File,School (K-12),"$300,000.00",2/6/1998,,"Victorville, Ca"
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100141,04 100141,Victor Elementary School District,"Construction of 12-Classroom Buildings (Relocatable, PC#275) / (2) @ Lomitas, (4) @ Mojave Vista, (3) @ Park View and (3) @ Village ES",#1-Certification & Close of File,School (K-12),$0.00,2/6/1998,,"Victorville, Ca"
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100142,04 100142,Brentwood E.s.,CONST. OF 4 - 24X40 (RELOCATABLE) BLDGS PC-275,#1-Certification & Close of File,School (K-12),"$120,000.00",2/6/1998,13962 Hook Blvd.,"Victorville, Ca"
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100279,04 100279,Irwin Elementary School,"Construction of 1-Shade Structure (24x30, PC-293)",#1-Certification & Close of File,School (K-12),"$23,000.00",4/6/1998,15907 S. Mojave Drive,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100297,04 100297,Pinon Mesa Middle School,Construction of 1-Special Services Building,#2-Certification & Close of File Per EDU Code 17315(b) OR 81147(b),School (K-12),"$8,500.00",6/24/1998,9298 Sheep Creek Road,"Phelan, Ca"
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100445,04 100445,Various/victor Elem. School District,"CONSTRUCTION OF:2 CR BLDGS[RELOCATABLE] PC-275
1@PARK VIEW ES; 1@LOMITAS ES",#1-Certification & Close of File,School (K-12),"$60,000.00",7/2/1998,13427 Cahuenga Street/12571 First Ave.,Victorville Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100591,04 100591,Quail Valley Middle School,"Construction of 2-Classroom Buildings (Relocatable, PC#253)",#1-Certification & Close of File,School (K-12),$0.00,8/21/1998,10050 Arrowhead Rd,Phelan Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100592,04 100592,Pinon Mesa Middle School,CONSTRUCTION OF:1 CR BLDG[RELOCATABLE] PC-253,#1-Certification & Close of File,School (K-12),"$60,000.00",8/20/1998,9298 Sheep Creek Rd.,Phelan Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100593,04 100593,Phelan Elementary School,"Construction of 2-Classroom Buildings (Relocatable, PC-253)",#1-Certification & Close of File,School (K-12),"$80,000.00",8/21/1998,4167 Phelan Rd.,Phelan Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100594,04 100594,Baldy Mesa Elementary School,"Construction of 2-Classroom Buildings (Relocatable, PC-253)",#1-Certification & Close of File,School (K-12),"$80,000.00",8/21/1998,10376 Baldy Mesa Rd.,Phelan Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100614,04 100614,Luna Elementary School,CONSTRUCTION OF (NEW E.S. CAMPUS) ADMIN BLDG #100; LIB/MEDIA BLDG #200; KG BLDG #300; SHADE STRUCTURE #400; MP BLDG #500; 27 CR BLDGS (RELOCATABLES); COVERED WALKWAYS; FLAGPOLES; STEEL BALLWALL; CMU RETAINING WALLS; TRASH ENCLOSURE; CONC RAMPS; SITEWORK,#1-Certification & Close of File,School (K-12),"$539,331.00",1/26/1999,Amethyst & Luna Rd.,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100934,04 100934,Baldy Mesa Elementary School,"Construction of 1-Toilet Building (Relocatable, PC-272)",#1-Certification & Close of File,School (K-12),$0.00,1/26/1999,10376 Baldy Mesa Rd.,"Phelan Cal.,"
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=101145,04 101145,Various . Victor Elem. School District,"RELOCATION OF:2 CR BLDGS  A-04-100140
1@LOMITAS  ES; 1@PUESTA ES;",#1-Certification & Close of File,School (K-12),"$30,000.00",5/4/1999,12571 First Avenue,"Victorville Cal.,"
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=101146,04 101146,Brentwood Elem. School,CONSTRUCTION OF FIVE CLASSROOM BUILDINGS (RELOCATABLE) PC-275,#1-Certification & Close of File,School (K-12),"$275,558.00",5/4/1999,13962 Hook Blvd.,"Victorville Cal.,"
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=101578,04 101578,Quail Valley Middle School,"Construction of 1-Gymnasium Building, 4-Classroom Buildings (Relocatable, PC#04-101055)",#1-Certification & Close of File,School (K-12),"$1,475,604.00",2/29/2000,10050 Arrowhead Rd.,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=101642,04 101642,Quail Valley Middle School,"Construction of 2-Classroom Buildings (Relocatable, 24x40, PC#04-101055)",#1-Certification & Close of File,School (K-12),$0.00,10/21/1999,10050 Arrowhead Road,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=101693,04 101693,Brentwood Elementary School,"CONSTRUCTION OF SIX (6) CLASSROOM BUILDINGS (24 X 40 RELOCATABLE, PC-04-101268) AND 
ALTERATIONS OF TWO (2) CLASSROOM BUILDINGS (A-100140) AND ONE (1) CLASSROOM BUILDING (A-69370) (RELOCATION)",#1-Certification & Close of File,School (K-12),"$356,592.00",11/12/1999,13962 Hook Boulevard,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=101915,04 101915,Baldy Mesa Elementary School,Construction of 1-Special Services Building,#1-Certification & Close of File,School (K-12),$0.00,5/31/2000,10376 Baldy Mesa Road,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=102145,04 102145,Heritage Primary School,"CONSTRUCTION OF: 3 C.R. BLDGS '400A, 400B, 500A'; 1 ADMIN. BLDG '100'; 1 M.P. BLDG '200' AND 1 K.G. BLDG '300'.",#1-Certification & Close of File,School (K-12),"$2,230,859.00",3/1/2001,Between Wilson Ranch Rd. & Acanthus St,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=102238,04 102238,Green Tree East Elementary School,"CONSTRUCTION OF 1 SHADE STRUCTURE PA-088;
SITEWORK",#1-Certification & Close of File,School (K-12),"$10,000.00",6/20/2000,17246 Gibralter Drive,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=102239,04 102239,Mojave Vista Elementary School,RELOCATION OF TWO (2) CLASSROOM BUILDINGS  (A-04-100445 AND A-04-100141),#1-Certification & Close of File,School (K-12),"$20,000.00",6/20/2000,16100 Burwood Avenue,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=102352,04 102352,Lomitas Elementary School,"RELOCATION OF ONE (1) 24 X 40 RELOCATABLE CLASSROOM (MODTECH SERIAL NUMBER S-6233/S-6234, A-56348) RELOCATED FROM LIBERTY ELEMENTARY SCHOOL",#1-Certification & Close of File,School (K-12),"$8,000.00",7/24/2000,12571 First Avenue,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=102368,04 102368,Brentwood Elementary School,RELOCATION OF TWO (2) RELOCATABLE CLASSROOM BUILDINGS (A-52512) @ BRENTWOOD ELEMENTARY SCHOOL,#1-Certification & Close of File,School (K-12),$0.00,7/27/2000,13962 Hook Blvd.,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=102489,04 102489,Irwin Elementary School,ALTERATIONS TO ONE CLASSROOM BUILDING (RELOCATION) (A-69370),#1-Certification & Close of File,School (K-12),"$117,000.00",12/18/2000,15907 South Mojave Drive,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=102665,04 102665,Lomitas Elementary School,CONSTRUCTION OF SITEWORK; ONE (1) 24 X 40 CLASSROOM (RELOCATABLE) (PC-04-101268) AND RELOCATION OF THREE (3) CLASSROOM BUILDINGS (A-56348; A-68166),#1-Certification & Close of File,School (K-12),"$245,165.35",12/18/2000,12571 First Avenue,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=102666,04 102666,Irwin Elementary School,CONSTRUCTION OF SITEWORK,#1-Certification & Close of File,School (K-12),"$143,135.70",12/18/2000,15907 S. Mojave Drive,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=102737,04 102737,Greentree Elementary School,"CONSTRUCTION OF TWO (2) CLASSROOM BUILDINGS (RELOCATABLE, PC-04-101268) AND ALTERATIONS TO ONE (1) CLASSROOM BUILDING (RELOCATION, 04-100141)",#1-Certification & Close of File,School (K-12),"$165,143.00",11/22/2000,17246 Gibraltar Drive,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=103022,04 103022,Liberty Elem. School,"CONSTRUCTION OF: 1 TOILET BLDG (12 X 40 RELOCATABLE, PC-04-101447)",#1-Certification & Close of File,School (K-12),"$128,162.00",4/10/2001,12900 Amethyst Road,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=103135,04 103135,Brentwood Elementary School,CONSTRUCTION OF: SIX (24X40) RELOC CR BLDGS PC-04-101268,#1-Certification & Close of File,School (K-12),$0.00,6/11/2001,13962 Hood Blvd,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=103153,04 103153,Charter 101 Elementary School,Construction of CONSTRUCTION OF: NEW FACILITY (SINGLE BLDG),#1-Certification & Close of File,School (K-12),"$2,693,411.00",9/12/2001,Silica Road Between Hesperia Road And First St,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=103188,04 103188,Village Elementary School,"Construction of 1-Toilet Building (Relocatable), 1-Fire Alarm upgrade (Campus-wide), 7-Classroom Buildings (Relocatable)",#1-Certification & Close of File,School (K-12),"$270,000.00",7/19/2001,14711 Mojave St.,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=103353,04 103353,Village Elementary School,"Construction of 2-Kindergarten Buildings (Relocatable, 36x40, PC#04-101268 modified)",#1-Certification & Close of File,School (K-12),$0.00,6/21/2001,14711 Mojave Drive,Victorivlle
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=103400,04 103400,Liberty Elementary School,RELOCATION OF TWO (2) 24 X 40 CLASSROOM BUILDINGS FROM STOCKPILE (A-04-102356),#1-Certification & Close of File,School (K-12),"$20,000.00",7/5/2001,12900 Amethyst,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=103514,04 103514,Village Elementary School,"ALTERATIONS TO: C.R. BLDG. ""A"" (A-26374); C.R./LIB. BLDG. ""B"" (A-26374)",#1-Certification & Close of File,School (K-12),"$494,261.00",10/20/2001,14711 Mojave Street,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=103661,04 103661,Puesta Del Sol Elem School,CONSTRUCTION OF: 1 CR BLDG(RELOCATABLE) PC4-101268 (24x40);,#1-Certification & Close of File,School (K-12),"$30,000.00",10/11/2001,15887 Academy St,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=103948,04 103948,Child Care Facility At Parkview Elementary,Construction of ALTERATIONS TO: TWO (24X40) RELOCATABLES STOCKPILE #100246,#1-Certification & Close of File,School (K-12),"$20,000.00",1/24/2002,13427 Cahugenga St.,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=104314,04 104314,Pinon Mesa Middle School,"Construction of TOILET BLDG. (RELOCATABLE,PC#04-101026)",#1-Certification & Close of File,School (K-12),"$80,000.00",6/13/2002,9298 Sheepcreek Rd.,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=104393,04 104393,Hopland Elem. School,Construction of (1) C.R./ADMIN/LIB/M.P./K.G./KITCHEN BLDG; (1) TRASH ENCL.; (1) UTILITY ENCL; AND SITE WORK,#1-Certification & Close of File,School (K-12),"$12,449,495.57",3/9/2003,Cross Streets Of Hopland St And Cahuenga Rd.,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=104449,04 104449,Heritage Interm. School,Construction of (1) SAHDE STRUCTURE (24'X40'  PC 04-101761),#1-Certification & Close of File,School (K-12),"$14,995.00",7/18/2002,9298 Sheep Creek Rd.,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=104470,04 104470,Quail Valley Middle School,Alterations to 1-Gymnasium Building (A#04-101578),#1-Certification & Close of File,School (K-12),"$32,000.00",8/1/2002,10050 Arrowhead Rd.,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=104707,04 104707,Wrightwood Elementary School,Construction of 1-Shade Structure (PC#02-103556),#1-Certification & Close of File,School (K-12),"$6,688.00",11/4/2002,1175 State Highway 2,Wrightwood
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=105000,04 105000,Quail Valley Middle School,"Construction of 1-Classroom Building  (Relocatable, 48x40, PC#04-104816), 3-Classroom Buildings (Relocatable, 24x40, PC#04-104816), 1-Administration Building (Relocatable, 24x40, PC#04-104817), 1-Toilet Building (Relocatable, 12x40, PC#04-104818)",DSA 301P Notification of Requirement for Certification,School (K-12),"$256,172.00",12/26/2003,10050 Arrowhead Rd.,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=105438,04 105438,Baldy Mesa Elementary School,"Construction of 1-Administration Building  (Relocatable, 48x40, PC#04-104816), 1-Toilet Building (Relocatable, 12x40, PC#04-104814), 10-Classroom Buildings (Relocatable, 24x40, PC#04-104816)",#2-Certification & Close of File Per EDU Code 17315(b) OR 81147(b),School (K-12),"$1,229,986.00",11/21/2003,10376 Baldy Mesa Road,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=105477,04 105477,Forecast Elementary School,"Construction of SITE GRADING FOR NEW ELEMENTARY SCHOOL; TRASH ENCLOSURE; SITE WORK (INC 1); ADMIN BLDG 100, K.G. BLDG 300B, C.R./M.P. BLDG 200, (2) C.R. BLDGS 600A AMPERSAND 600B, (20) RELOCATABLE C.R. BLDGS ( PC 4-104816), (3) SHADE STRUCTURES (PC 4-104883) ( INC 2)",#1-Certification & Close of File,School (K-12),"$8,804,400.00",12/4/2003,Southwest Corner Of Vista Verde Dr. &,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=105608,04 105608,Quail Valley Middle School,"Construction of 2-Classroom Buildings (Relocatable, 24x40, PC#04-104816), 1-Toilet Building (Relocatable, 12x40, PC#04-104822)",#1-Certification & Close of File,School (K-12),"$151,000.00",10/2/2003,10050 Arrowhead Rd.,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=105609,04 105609,Serrano High School,Construction of (2)24x40 RELOC.C.R.BLDGS.(A-04-104816),#1-Certification & Close of File,School (K-12),$0.00,10/2/2003,9292 Sheep Creek Rd.,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=105664,04 105664,Heritage Elementary School,Construction of 1 - Relocatable C.R. Bldg/s 48x40 (PC04-104816),#1-Certification & Close of File,School (K-12),$0.00,10/21/2003,9542 Wilson Ranch Rd.,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=105672,04 105672,Ridgecrest Elementary School,"Construction of 2- C.R. Bldg , 1 - C.R./Admin./Kit./Lib./M.P. Bldg, And Site Works.",#1-Certification & Close of File,School (K-12),"$14,593,611.98",7/14/2004,Ridgecrest Rd. Between Huerta & Pahule,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=105676,04 105676,Administration Building / Snowline Jt. Usd,Construction of (1) 84x40 RELOC C.R BLDG.(A-04-104817),#1-Certification & Close of File,School (K-12),$0.00,11/6/2003,9298 Sheep Creek Rd.,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=105681,04 105681,Special Services Building / Snowline Jt. Usd,Construction of ONE (1) 24 X40 RELOC SPECIAL SERVICE BLDG (A-04-104816),#2-Certification & Close of File Per EDU Code 17315(b) OR 81147(b),School (K-12),"$49,686.00",3/11/2004,4558 Wilson Ranch Rd.,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=105773,04 105773,Pinon Hills Elementary School,"Alterations to 1-Toilet Building (A#53878), 1-Multi-purpose/Classroom Building (A#52038) - Staff toilet upgrades; Construction of 1-Classroom Building (Relocatable, per PC#04-104816) and Sitework",#2-Certification & Close of File Per EDU Code 17315(b) OR 81147(b),School (K-12),"$38,613.95",3/5/2004,878 Mono Rd.,Pinon Hills
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=105812,04 105812,Phelan Elementary School,"Alterations to 1-Toilet Building (Relocatable, A#46998); Construction of 1-Classroom Building  (Relocatable)",,School (K-12),$0.00,,4167 Phelan Rd.,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=105813,04 105813,Baldy Mesa Elementary School,"Construction of 7-Classroom Buildings (Relocatable, 24x40, PC#04-104816)",DSA 301P Notification of Requirement for Certification,School (K-12),"$672,551.00",3/5/2004,10376 Baldy Mesa Rd.,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=105924,04 105924,Wrightwood Elementary School,"Construction of 1-Classroom Building  (Relocatable, 24x40)",,School (K-12),$0.00,,1175 State Hwy. 2,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=106210,04 106210,Lomitas Elementary School,Construction of 4-CR BLDGS (RELOCATABLES) (PC 04-104801),#1-Certification & Close of File,School (K-12),"$207,162.10",11/17/2004,12571 First Avenue,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=106211,04 106211,Sixth Street Prep School,Alteration to 1-CR BLDG (RELOCATABLE),,School (K-12),$0.00,,15478 Sixth Street,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=106215,04 106215,Quail Valley Middle School,"Construction of 6-Classroom Buildings (Relocatable, PC#04-104778)",,School (K-12),"$420,000.00",6/10/2004,10050 Arrowhead Rd.,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=106328,04 106328,Heritage School,Construction of (3) RELOCATABLE C.R. BLDGS 24'X40' (AURORA PC 04-104816),,School (K-12),$0.00,,9542 Wilson Ranch Rd.,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=106409,04 106409,Wrightwood Elementary School,Construction of 1-Classroom Building  (Relocatable),,School (K-12),$0.00,,1175 State Hwy. 2,Wrightwood
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=106470,04 106470,Quail Valley Middle School,Construction of 1 - School sign Structure and Antenna equipments,#2-Certification & Close of File Per EDU Code 17315(b) OR 81147(b),School (K-12),"$145,000.00",12/20/2004,10058 Arrowhead Rd.,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=106724,04 106724,Vista Del Sol Elementary School,"Construction of 1 - Shade Structure, PC # 03-106747",,School (K-12),$0.00,,15887 Academy Street,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=106789,04 106789,Baldy Mesa Elementary School,"Construction of 3-Classroom Buildings (Relocatable, 24x40, PC# 04-104778)",#1-Certification & Close of File,School (K-12),"$216,000.00",3/30/2005,10376 Baldy Mesa Rd.,Phelan
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=106953,04 106953,Liberty Elementary School,Construction of (3)Relocatable(24x40) CR Bldgs-PC # 04-104801; & Related site work. Alteration to (1)CR Bldg(400)-A# 49206.,#1-Certification & Close of File,School (K-12),"$372,633.50",6/7/2005,12900 Amethyst Rd.,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=107117,04 107117,Heritage School,Construction of (2)SHADE STRUCTURES(16'X16'  AMPERSAND 20'X30' PC 04-104776 BY AMERICAN BLDG  STRUCT);  ( 13)  24'X40' RELOCATABLE C.R. BLDGS (PC 04-104778 BY MSI),#1-Certification & Close of File,School (K-12),"$1,352,249.00",6/29/2005,9542 Wilson Ranch Rd.,Phelan
