Link,DSA AppId,Project Name,Project Scope,Project Cert Type,Project Type,Final Project Cost,Approved Date,Address,City
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=03&AppId=101916,03 101916,Silverwood Lake S.r.a.,CONTRUCTION OF NEW MARINA STORE,,Access Compliance Only - NOT K-14,$0.00,,1416 9th Street,Sacramento
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100112,04 100112,Cabrillo Elementary School,"Alterations to 1-Administration Building A (A#26694), 1-Classroom Building D (A#26694) / Access Compliance Upgrades; Construction of 1-Classroom Building  (Relocatable, 24x60, PC#304)",DSA 301P Notification of Requirement for Certification,School (K-12),"$105,000.00",1/25/2000 2:01:35 PM,1562 W. 11th. Street,Upland Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100113,04 100113,Magnolia Elem. School,CONSTRUCTION OF:  1 - 24 X 60  RELOCATABLE (PC-304),#1-Certification & Close of File,School (K-12),$0.00,,456 W. 15th. Street,Upland Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100140,04 100140,Victor Elementary School District,"CONST. OF 10 CR BLDGS(RELOCATABLE) PC-275
2@DEL REY;2@GREENTREE;2@IRWIN;4@LIBERTY ELEM SCH",#1-Certification & Close of File,School (K-12),"$300,000.00",2/6/1998,,"Victorville, Ca"
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100141,04 100141,Victor Elementary School District,"Construction of 12-Classroom Buildings (Relocatable, PC#275) / (2) @ Lomitas, (4) @ Mojave Vista, (3) @ Park View and (3) @ Village ES",#1-Certification & Close of File,School (K-12),$0.00,2/6/1998,,"Victorville, Ca"
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100142,04 100142,Brentwood E.s.,CONST. OF 4 - 24X40 (RELOCATABLE) BLDGS PC-275,#1-Certification & Close of File,School (K-12),"$120,000.00",2/6/1998,13962 Hook Blvd.,"Victorville, Ca"
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100145,04 100145,Various/yucaipa-Calimesa Joint Unified School District,"CONSTRUCTION OF: 8 CR BLDGS(RELOCATABLE) PC-253
6@RIDGEVIEW;2@PARKVIEW ES",#1-Certification & Close of File,School (K-12),"$380,073.00",3/10/1998,"11021 Sunnyside Dr., 34875  Tahoe Dr.",Yucaipa Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100188,04 100188,Peppertree Elementary School,CONSTRUCTION OF TWO ( 2 )  24 X 60  RELOCATABLES (PC-304),,School (K-12),$0.00,,1045 18th Street,Upland
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100217,04 100217,Silverado High School,Construction of SCOREBOARD  STRUCTURE,#1-Certification & Close of File,School (K-12),$0.00,3/5/1998,14048 Cobalt Road,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100227,04 100227,Various: (san Bernardino City Unified School District,CONSTRUCTION OF:  THREE (3)  CR.BLDGS @ WILSON E.S. & ONE (1) CR.BLDG @ BRADLEY E.S. WITH RELATED SITE WORK (RELOCATABLES; PC-282),#1-Certification & Close of File,School (K-12),"$195,680.52",9/2/1998,2894 Belle St.,San Bernardino Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100228,04 100228,Various: San Bernardino City U.s.d.,CONSTRUCTION OF:  TWO (2) CR BLDGS (24X40) @  URBITA & THREE (3) CR BLDGS (24X40) @ WARM SPRINGS WITH RELATED SITEWORK (RELOCATABLES; PC-282),#1-Certification & Close of File,School (K-12),"$241,529.11",9/2/1998,"771 South ""j"" Street",San Bernardino Ca
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100229,04 100229,Various: San Bernardino City Unified School District,CONSTRUCTION OF:  FOUR 4) CR BLDGS @ PARKSIDE ES; ONE (1) CR BLDG @ RILEY ES& FOUR (4) CR BLDGS @ E. NEAL ROBERTS ES(RELOCATABLES; PC-282); RELATED SITEWORK.,#1-Certification & Close of File,School (K-12),"$422,884.02",9/2/1998,3775 Waterman Ave.,San Bernardino Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100230,04 100230,Various (san Bernardino City Unified School District),CONSTRUCTION OF:  TW0(2) CR BLDGS. AT CALIFORNIA E. S .FOUR (4) CR BLDGS AT DEL ROSA E.S.AND TWO (2) CR BLDGS AT FAIRFAX E.S ( RELOCATABLES; PC-282) WITH RELATED SITEWORK.,#1-Certification & Close of File,School (K-12),"$390,537.77",9/2/1998,2699 California St.,San Bernardino Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100231,04 100231,Various/san Bernardino City Usd,CONSTRUCTION OF:  FIVE(5) CR BLDGS AT LINCOLN E.S. TWO (2) CR BLDGS AT LYTLE CREEK E.S  AND FOUR (4) CR BLDGS AT MARSHALL E.S.(RELOCATABLES; PC-282) WITH RELATED SITE WORK.,#1-Certification & Close of File,School (K-12),"$503,394.26",9/2/1998,"255 W. 13th. St. & 275 S. K St.,",San Bernardino Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100232,04 100232,Various/ San Bernardino City Usd.,"CONSTRUCTION OF: EIGHT(8) CR BLDGS (RELOCATABLES; PC-282) :
ONE(1) AT HILLSIDE E.S.; THREE (3)  AT HUNT E.S. AND FOUR (4)  AT LANKERSHIM E.S.WITH RELATED SITEWORK.",#1-Certification & Close of File,School (K-12),"$376,363.73",9/2/1998,4975 N. Mayfield Ave.,San Bernardino Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100233,04 100233,Various/san Bernardino City Usd.,"CONSTRUCTION OF:  THREE (3) CR BLDGS@ NEWMARK E.S.;TWO (2) CR BLDGS @ NORTH PARK E.S. & TWO(2) CR BLDGS  AT PALM AVE E.S. ( RELOCATABLES; PC-282);
RELATED SITEWORK.",#1-Certification & Close of File,School (K-12),"$342,205.46",9/2/1998,4121 North 3rd. Ave.,San Bernardino Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100244,04 100244,Various:  San Bernardino City Unified School District,"ALTERATIONS TO:  2 TOILET BLDGS(RELOCATION) A-55087
1@CYPRESS;1@LINCOLN ES; 1 KITCHEN BLDG(RELOCATION) A-55087 @CALIFORNIA ES",#1-Certification & Close of File,School (K-12),"$70,191.42",2/2/1999,2699 California Street,San Bernardino
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100245,04 100245,Various:  San Bernardino City Unified School District,RELOCATION OF: 2 KG BLDG(RELOCATION) A-55087 @ HUNT ES AND 1 LIB BLDG(RELOCATION) A-55087 @ LANKERSHIM ES,#1-Certification & Close of File,School (K-12),"$66,698.82",10/1/1998,1342 Pumalo Street,San Bernardino
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100263,04 100263,Yucaipa Jr. High School,ALTERATIONS TO: 3 CR BLDGS(RELOCATION) 04-100047,#1-Certification & Close of File,School (K-12),"$7,000.00",4/17/1998,12358 Sixth Street,Yucaipa Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100279,04 100279,Irwin Elementary School,"Construction of 1-Shade Structure (24x30, PC-293)",#1-Certification & Close of File,School (K-12),"$23,000.00",4/6/1998,15907 S. Mojave Drive,Victorville
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100284,04 100284,Foothill Knolls Elem. School,"CONSTRUCTION OF: TWO (2) 36 X 40 RELOCATABLES ( PC-266 )
ALTERATIONS :  ACCESSIBILITY UPGRADES AS SHOWN",,School (K-12),$0.00,,1245 Veterans Ct.,Upland Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100285,04 100285,Valencia Elem. School,"CONSTRUCTION OF: ONE  24 X 60 CR. BLDG (RELOC) ( PC-304).
ALTERATIONS TO :  ACCESSIBILITY UPGRADES TO ADMIN BLDG 'A' (A-26695), CR.BLDG 'E' (A-26695)",,School (K-12),$0.00,,541 W.  22nd. Street,Upland Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100297,04 100297,Pinon Mesa Middle School,Construction of 1-Special Services Building,#2-Certification & Close of File Per EDU Code 17315(b) OR 81147(b),School (K-12),"$8,500.00",6/24/1998,9298 Sheep Creek Road,"Phelan, Ca"
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100403,04 100403,Bonnie Oehl Elementary School,ALTERATIONS TO MAIN CLASSROOM BUILDING A-31031 (MECHANICAL EQUIPMENT UPGRADE),#1-Certification & Close of File,School (K-12),"$497,113.00",7/10/1998,2525 Palm Ave.,Highland Ca.
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=04&AppId=100445,04 100445,Various/victor Elem. School District,"CONSTRUCTION OF:2 CR BLDGS[RELOCATABLE] PC-275
1@PARK VIEW ES; 1@LOMITAS ES",#1-Certification & Close of File,School (K-12),"$60,000.00",7/2/1998,13427 Cahuenga Street/12571 First Ave.,Victorville Ca.
