Link,DSA AppId,Project Name,Project Scope,Project Cert Type,Project Type,Final Project Cost,Approved Date,Address,City
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100007,01 100007,Dr. William Cobb Elementary School (incr. I),Alterations to Dr. William Cobb Elementary School,,School (K-12),"$823,696.62",,2725 California Street,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100008,01 100008,Dr. William Cobb Elementary School,Alterations to Dr. William Cobb Elementary School,#3-Close of File w/o Certification - Exceptions,School (K-12),$0.00,11/7/2001,2725 Callifornia Street,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100019,01 100019,Cabrillo Elementary School,Construction of Relocatable Calssroom,#2-Certification & Close of File Per EDU Code 17315(b) OR 81147(b),School (K-12),"$93,146.00",3/24/1999,735 24th Avenue,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100020,01 100020,Longfellow Elementary School,Construction of Relocatable Classroom,#1-Certification & Close of File,School (K-12),"$24,847.00",12/30/1997,755 Morse Street,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100027,01 100027,Garfield Elementary,Alteratinos to Main Building (Window Replacement & Glu Lam Repair),,School (K-12),$0.00,,420 Filbert Street,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100054,01 100054,Ucsf,Construction of Alterations to Health Sciences West -11th Floor,#1-Certification & Close of File,Access Compliance Only - NOT K-14,$0.00,9/2/1998,3130 20th Street,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100100,01 100100,Hillcrest Elementary School,Construction of Three Portable Classrooms,#3-Close of File w/o Certification - Exceptions,School (K-12),$0.00,12/15/1998,810 Silver Ave.,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100138,01 100138,Buena Vista Elementary School,Additions to Portable Modular Classroom,,School (K-12),$0.00,3/13/1998,2641 25th Street,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100164,01 100164,Ucsf/stanford Health Care,Alteration to Alts. to Emergency Parking H.C. Moffitt Hospital,,Access Compliance Only - NOT K-14,$0.00,,505 Parnassus,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100296,01 100296,Various Sites,"Additions to 21 St. Century (Fremont) ES, Alvarado ES., International Studies HS.-All Classroom, Offices, Multi-Purpose Bldgs. (Each School)",#3-Close of File w/o Certification - Exceptions,School (K-12),"$26,045.32",3/13/1998 4:10:37 PM,,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100301,01 100301,Various Sites,"Alterations to E.R. Taylor , San Francisco Community, West Portal & Cleveland Elem. Schools; J. Eugene McAteer &",#3-Close of File w/o Certification - Exceptions,School (K-12),"$1,423,940.46",8/1/2000,,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100302,01 100302,Various Sites,"Alterations to Cabrillo, Claredon, & Rosa Parks Elem. Schools, & Ida B. Wells High, All Buildings, All Sites",#1-Certification & Close of File,School (K-12),"$741,506.41",11/5/2000,,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100303,01 100303,Various Sites,"Alterations to Buena Vista, Starr King & Marshall, Elem. Schools; & Sunshine High School",#2-Certification & Close of File Per EDU Code 17315(b) OR 81147(b),School (K-12),"$385,093.83",8/8/2000,,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100335,01 100335,Bryant Elementary School,Construction of Reconstruction/Rehabilitation of Roof Repair and MechanicalUnits Replacement.,,School (K-12),$0.00,,1050 York Street,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100400,01 100400,Various Sites,"Additions To: Fairmount ES, Phillip & Sala Burton HS",#2-Certification & Close of File Per EDU Code 17315(b) OR 81147(b),School (K-12),"$577,006.05",4/3/1998,,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100401,01 100401,Various Sites,"Additions To: Garfield Es, Golden Gate ES, Jean Parker ES, Lafayette ES, John Yehall Chin ES",#1-Certification & Close of File,School (K-12),"$651,180.33",4/3/1998,,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100454,01 100454,James Lick Middle School,"Alterations to Middle School Lab improvements, sinks, electrical 
and counters.",#2-Certification & Close of File Per EDU Code 17315(b) OR 81147(b),School (K-12),"$105,456.52",9/1/1999,1220 Noe Street,San Franscisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100455,01 100455,Winfield Scott Elementary School,Additions to Relocatable Modular Classrooms.,,School (K-12),$0.00,,3630 Divisadero Street,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100507,01 100507,Francisco Middle School,Alterations to East Wing Bldg and Annex Bldg.,,School (K-12),$0.00,3/24/1999,2190 Powell Street,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100633,01 100633,Potrero Hill Middle,Alterations To: Main Building,,School (K-12),$0.00,3/12/1999,,
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100748,01 100748,El Dorado Elementary School,Alterations To: Buildings A&B @ El Dorado,#1-Certification & Close of File,School (K-12),"$1,046,679.50",11/13/1998,70 Delta Street,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100772,01 100772,Presidio Middle School - Phase 1,Reconstruction/Rehabilitation of School (Modernization).,#1-Certification & Close of File,School (K-12),"$3,775,432.00",4/22/1999,450 - 30th Avenue,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100773,01 100773,Presidio Middle School - Phase 2,Reconstruction/Rehabilitation of School (Modernization).,,School (K-12),$0.00,,450-30th Avenue,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100877,01 100877,Francis Key Elementary,Construction Of: Two Modular Buildings.,,School (K-12),$0.00,3/24/1999,1530 43rd Avenue,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100878,01 100878,Various Sites,Construction Of; New Modular Buildings.,#3-Close of File w/o Certification - Exceptions,School (K-12),$0.00,5/26/1999,,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100936,01 100936,Luther Burbank Middle School,Alterations to Science Laboratory Bldg.,#1-Certification & Close of File,School (K-12),$0.00,5/4/2000,325 La Grande Avenue,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=100945,01 100945,21st Century Elementary School,Construction Of: Relocatable Classroom (2),,School (K-12),$0.00,,2055 Silver Avenue,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=101000,01 101000,Alice Fong Yu Alternative School,"Construction of bldg. B(multi-purpose, library), bldgs C & D classroom bldgs; alterations to bldg. A(existing) technology upgrade & minor remodel.",#1-Certification & Close of File,School (K-12),"$4,801,910.55",6/16/1999,1541 - 12th Avenue,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=101051,01 101051,Sanchez Elementary School,Construction of Construction of New Elevator.  Alterations to main bldg.,#1-Certification & Close of File,School (K-12),"$1,383,326.27",3/31/2000,325 Sanchez Street,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=101057,01 101057,Argonne Child Development Center,Construction of argonne child development center.,#2-Certification & Close of File Per EDU Code 17315(b) OR 81147(b),School (K-12),"$1,906,153.05",,750-16th Avenue,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=101102,01 101102,Francis Scott Key Elementary School,Alterations to Main Bldg and Bungalows,#1-Certification & Close of File,School (K-12),"$160,502.60",12/11/1998,1530 43rd Ave,San Francisco
https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=01&AppId=101109,01 101109,Edison Elementary School,Alterations To: Modernization Of Main Building,,School (K-12),$0.00,11/5/2000,3531 - 22nd Street,San Francisco
